10000; 0.195
20000; 0.681
30000; 1.532
40000; 2.718
50000; 4.252
60000; 6.108
70000; 8.357
80000; 10.840
90000; 13.746
100000; 16.975
10000; 0.192
20000; 0.689
30000; 1.547
10000; 0.173
20000; 0.693
30000; 1.592
